date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2011-09-24,19656,129,2696489,20903.015503876,0.90381871,40052723.41579949490792952683,44314996.88611154479074429231,1755425.32032871,0.00121256881693649,0.006618066841120280544721594466,0,0,6.81584932,37.2001537139370407801952,6450,32.0808067480832,35203.388483196972,6450,35203.388483196972,69.2133323,41.60884213059487,1,5.45788968731736,8674.742262568105,-42.825936200257445,7338499.98999999,5621,18900,106027.26015804,578685.0897910813174172355744,11.7784855734037,64.28567494329635589921729823,0.08317364,0.4539525520126466663904,222613.37733733,1214999.256428301508547485049,0.106905437769641,0.0891232170447196,0.102073465102372
2011-09-25,19723,137,2674633,19522.8686131387,0.88996971,39232651.95435617820039188644,44083131.62463515000616097551,1755425.32032871,0.000586923275557128,0.003134848118223365813010816569,0,0,3.3184642,17.724431260434901162706,6850,34.0385414364715,36586.9109372881205,6850,36586.9109372881205,55.38361577,42.95722533790417,1,5.34115488135593,8511.98787706535,-34.27824102872477,7345349.98999999,5654,19602,132626.7685572,708380.112277751953425764196,14.9528176671085,79.8653150727017543238424284,0.08,0.4272923905084744,293105.13191066,1565519.906055095424532421214,0.106927579855536,0.0881090996992354,0.102063182531202
2011-09-26,17623,134,2381386,17771.5373134328,0.81318218,35832612.99183517448134878761,44064680.51775201165538612917,1755425.32032871,0.000535795193258839,0.002611372587107441384976551875,0,0,2.92490596,14.2554829530195122806784,6700,33.2628315004154,32654.634744301568,6700,32654.634744301568,63.09499979,43.59615905077675,1,4.87382608123904,7761.009808450063,-43.3045141842237,7352049.98999999,5459,16609,116523.49654827,567915.2565541255780447684608,16.6889772792468,81.33917273279880700462195507,0.2,0.974765216247808,277187.22363101,1350962.31991905489230856663,0.107193067628621,0.0882400491178309,0.1025107206292
2011-09-27,18461,133,2641848,19863.5187969925,0.82013287,36139736.79869786467623217481,44065709.47504184414877232994,1750953.00272281,0.00078740150694096,0.00386705304665429129604760883,0,0,4.70787361,23.1211101659460084448539,6650,32.9847663758338,32659.1993202512835,6650,32659.1993202512835,55.85796849,43.74183756108148,1,4.91115779251899,7795.6959897638935,-45.61808828612364,7358699.98999999,5979,17359,131739.48479284,646993.3973227931470219160316,24.70633403468,121.3367049189958205272185732,0.27,1.3260126039801273,428877.25250801,2106283.86068884785919305211,0.107178485171145,0.088370318881016,0.102531382655814
2011-09-28,13766,147,2488702,16929.9455782313,0.79634397,35087555.38092852032385228551,44060803.52002179084909913328,1689334.4045971,0.000746819612574342,0.003557411984895563009165320012,0,0,4.39503342,20.935369531110375590619,7350,36.4204696362644,35011.1026126534575,7350,35011.1026126534575,54.92903977,44.59902710275533,1,4.76341532144945,7594.85524634729,-46.843748216803085,7366049.98999999,5885,13780,134101.19712546,638779.697012129106220697997,25.6601587730798,122.2299934505138400361765161,0.90270625,4.2999647820181775740625,353596.98789304,1684329.309748082411474366828,0.107222002820361,0.0883856820633671,0.102544014358778
2011-09-29,12324,125,2175288,17402.304,0.79926256,35222349.98309897684563801625,44068559.92490013001747428809,1689334.4045971,0.000627667121413642,0.002998780713387058837558702751,0,0,3.30341206,15.7825828945561009531532,6250,30.9435319112673,29860.381114845125,6250,29860.381114845125,63.4504945,44.82984582950254,1,4.77766097837522,7617.107056009077,-45.76970740274195,7372299.98999999,5263,11759,116189.79566111,555115.4528154756942935416942,26.6431720983536,127.2920436744394238005650378,1.01,4.8254375881589722,313297.06070454,1496827.141567733268557677499,0.107218239547938,0.087945547400602,0.102570717732553
2011-09-30,13620,122,2463192,20190.0983606557,0.86045873,37952172.06686399960719930006,44106905.76296588824335550163,1689334.4045971,0.0006540995218509,0.003364482494278391509611390744,0,0,3.81667071,19.6317553541144067430536,6100,30.1759189393038,31376.484050964376,6100,31376.484050964376,65.46234442,45.2488866410617,1,5.14368590999416,8209.670290782165,-37.26563359533516,7378399.98999999,5835,12731,112712.12566065,579755.772646176607627641804,22.578821786236,116.1383674861312848155283818,1.01381182,5.2147295739195355389712,287450.98016057,1478557.556465934732844562271,0.106758234867086,0.0895261708416073,0.103051352029552
2011-10-01,13286,143,2328596,16283.8881118881,0.84362417,37179379.66114728074168765289,44071022.46886495966679645635,1689334.4045971,0.000673343433032355,0.003389658342702553348872884375,0,0,3.57949369,18.0194237498067777305461,7150,35.3358924322981,35993.6043946814335,7150,35993.6043946814335,62.35561404,45.32017933418158,1,5.03407054471069,8022.964921271321,-38.86448448755385,7385549.98999999,5316,12139,118442.42260975,596247.5109039179275285232275,34.3430513878095,172.8853434068573878241703336,1.01059036,5.0873831640445723029484,416890.30079662,2098655.183615844244634429868,0.106744052756102,0.0887259714120931,0.0971684081264389
2011-10-02,11856,121,2113488,17466.8429752066,0.84035131,37010203.83989706065810343273,44041347.21137223341580798096,1689334.4045971,0.000642738636271939,0.003218232585148584204181519969,0,0,3.18605542,15.9527789245815237736652,6050,29.8751285646885,30292.728710198713,6050,30292.728710198713,79.64321101,45.749693069783355,1,5.00706259672706,8054.825076102704,-41.92302405621406,7391599.98999999,4957,11165,92808.91486782,464700.0462774874557045172092,28.9008627914313,144.708429096116472834792841,1,5.00706259672706,322678.13306633,1615669.61085813809341988589,0.106737478716123,0.088758883187327,0.0948806545666032
2011-10-03,14031,145,2637195,18187.5517241379,0.84387152,37163275.64451765221689529684,44039021.22889139764214484752,1689334.4045971,0.0014160851755892,0.007112776145977341333779707412,0,0,9.07285772,45.5715567672768038250092,7250,35.7656933655443,36415.6252372881725,7250,36415.6252372881725,60.81159246,45.921830791057815,1,5.02284486031561,8125.424837333219,-40.55561100133592,7398849.98999999,6407,13876,121668.41372004,611121.5665164561610485818244,29.1765588709758,146.5493287667766139596566722,1.01,5.0730733089187661,404853.93089366,2033518.485967791286716948033,0.106737338741393,0.0888150667657991,0.0941745412520662
